,question,answer
39,我在做近视手术前需要做哪些术前准备？,"①滴眼药水：
第一种药水“玻璃酸钠滴眼液”即刻就可以滴玻璃酸钠每天四次，早中晚饭睡觉前这四个时间。第二种药水左氧氟沙星沙星滴眼液。这种眼药水要在手术前三天开始用。就是几月几号开始每天点四次，在早中晚饭睡觉前这四个时间。点眼药水与饭前饭后没有关系，只是辅助你在吃饭的时候记起来点眼药水这件事情。每次在眼睛里点一滴就可以。因为我们的眼睛连一滴眼药水都盛不了的。这两种眼药水没有先后顺序，但是任意两种之间需要间隔5分钟。每天各四次，两种之间间隔五分钟不分先后。
  
②做注视训练：
在手术前最重要的一件事情是做注视练习。注视练习的方法是：用一只手遮挡住我们的其中一只眼睛，请注意遮住的这只眼睛要保持睁开的状态，然后用另外一只手伸直举起注释练习卡片，位置与眼睛平齐，用另一只眼睛盯住注视卡片中央的绿点，集中注意力尽量不眨眼保持30秒钟以上。用相同的方法进行另外一只眼睛的练习。如此交替往复每天练习五到六次。
 
③注意事项：从现在到手术日那一天，这中间不要再戴隐形眼镜，如果戴了隐形眼镜要隔七天之后才可以接受手术治疗。（1.普通隐形眼镜，停戴1周；RGP停戴1个月；角膜塑形镜（OK镜），停戴3个月。
这样才能让角膜恢复到一个稳定的形态，对于术前检查和手术来说，都是最大程度的做好矫正工作。）
手术前一天要洗头洗澡。手术日当天洗完脸之后，不要涂抹任何化妆品眼睛周围也不要化妆，术前眼部周围不能用化妆品（有假睫毛者请卸掉。好好休息，早早睡觉。"
40,手术是怎么做的？做手术会痛吗？,我们全飞秒激光的手术是无痛的，整个手术过程不用打针，也不会有血。在眼睛里面点几滴眼药水就会起到麻醉的作用，手术的时候会让你躺在一张床上，在正上方是机器设备，其中有一个绿色的一闪一闪的指示灯，这是我们需要集中注意力看的地方，也是体现我们术前注视练习效果的时候。整个手术过程中，不要晃动脑袋，也不要转动眼睛，也不要说话，注意仔细听医生的命令和讲解，按照医生的要求去做。如果在手术过程中出现了明显的不舒适状态，切切不要擅自行动，而是举手或者用手拍床边，向医生示意。医生同意后才能够进行下一步的动作。
41,为什么有些医生不做近视手术？,首先从近视激光手术的性质来说，它属于美容手术。有些医生戴了多年眼镜，摘下来可能自己看自己都不习惯，戴眼镜也不觉得负担，所以他们就不考虑近视激光，这不代表他们不认可这项手术。另外，全飞秒手术并不适用于所有人，而是全面检查眼底、角膜等情况后，医生才能判定患者是否适宜手术，有些人可能本来就不具备手术条件。平时大家只留意戴着眼镜的医生，没有留意更多不戴眼镜的医护人员其实是做过近视手术的。客观来说，医护选择接受激光手术的比例应该比正常人群还要多一些。
42,为什么要做术前检查？,因为手术不光要知道您的度数，最佳矫正度数，还要了解您的眼睛是否有您未知的眼科疾病，还有角膜厚度情况等等的问题。这些都是在术前我们和您都必须清楚知道的。
43,全飞秒手术和半飞秒手术的有什么区别？,"全飞秒手术：微创切口，无需制作角膜瓣，术中不适感降低、一次性飞秒激光制作微透镜时间短，术后恢复快。尤其适合有激烈运动需求的群体，比如运动员、军人及好动的年轻人等。
半飞秒手术：采用准分子激光角膜切削和飞秒激光制瓣相结合，术中安全、无痛，矫正度数范围较广，如远视、老视、一定范围内的薄角膜、高度数、高散光等均是适宜人群。"
44,做近视激光手术安全吗？,近视激光矫正手术开展至今已有30年，每个发展阶段都在不断提升技术，尤其是全飞秒近视激光手术，不管是安全性、精准性、预测性，还是手术的远期疗效，临床均已得到反馈，目前来说，是安全性比较高的摘镜选择。
45,做完近视手术后会不会复发？,极少数的患者会出现术后视力回退的情况。在手术前，医生会对您进行详细的询问，比如近视度数是否有发展。一般在近视度数稳定的情况下，才会给您进行近视手术，这样就降低了术后近视再次复发的可能性。若术后再有近视情况岀现，可以在眼睛条件允许的情况下，再次进行近视手术的矫正。
46,全飞秒手术用什么做，怎么做？,只有一种设备可以做全飞秒“德国蔡司公司生产的Visu Max”全飞秒激光设备。全飞秒作为目前的主流屈光手术方式，其优势在于没有角膜瓣，避免了传统Lasik手术角膜瓣的风险和并发症，另外全飞秒手术切口很小，只有2-4mm，它的损伤也是非常小的，术后恢复非常快，对日常工作生活影响不大。
47,晶体植入散光片会比不带散光更容易移动吗？,晶体是否会移位与晶体是不是散光晶体无关，只是散光晶体会因为移位产生影响。
48,我之前检查的时候，暗瞳是多少？数据是什么？,暗瞳的大小会根据光线的明暗变化的，在我们检测设备上测得的数据是5mm，数据仅供参考。
49,我能把晶体和散光分成两个手术做吗？,"按照您所说的,散光是可以用半飞秒做，但是会加收12000元半飞的费用，另外晶体移位的情况是很少的，尤其是我们的团队是沈晔教授位核心的，手术质量和效果都很好。"
50,术后矫正视力可以超过之前戴眼镜的视力吗？,一般情况术后视力可达术前最佳矫正视力，视力在国际上0.8以上为正常，中国以1.0以上为正常，调节功能正常无弱视人群，单眼视力术后均在1.0左右，双眼视力1.0或者1.0以上，每个人调节功能不同，如果患者眼睛的调节功能比较好，术后可以达到1.2甚至更高。
51,我这种左眼100右眼200无散光的推荐做手术吗？,推荐可以做近视手术。术前检查大概需要2小时。如果检查数据无异常一次检查就可以确定手术数据及手术方式。如果检查数据需要再次确定，那需要术前再次复查。再次复查时间大概是1小时的样子。
